Test set Size =         241;	Fault Coverage : 0.959365 
Test set Size =         242;	Fault Coverage : 0.959365 
Test set Size =         243;	Fault Coverage : 0.959365 
Test set Size =         244;	Fault Coverage : 0.959365 
Test set Size =         245;	Fault Coverage : 0.959365 
Test set Size =         246;	Fault Coverage : 0.959365 
Test set Size =         247;	Fault Coverage : 0.959365 
Test set Size =         248;	Fault Coverage : 0.959365 
Test set Size =         249;	Fault Coverage : 0.959365 
Test set Size =         250;	Fault Coverage : 0.959365 
Simulation Time:              4555296 
