Test set Size =         280;	Fault Coverage : 0.940131 
Test set Size =         281;	Fault Coverage : 0.940131 
Test set Size =         282;	Fault Coverage : 0.940131 
Test set Size =         283;	Fault Coverage : 0.940131 
Test set Size =         284;	Fault Coverage : 0.940131 
Test set Size =         285;	Fault Coverage : 0.940131 
Test set Size =         286;	Fault Coverage : 0.940131 
Test set Size =         287;	Fault Coverage : 0.940131 
Test set Size =         288;	Fault Coverage : 0.940131 
Test set Size =         289;	Fault Coverage : 0.940131 
Test set Size =         290;	Fault Coverage : 0.940131 
Test set Size =         291;	Fault Coverage : 0.940131 
Test set Size =         292;	Fault Coverage : 0.940599 
Test set Size =         293;	Fault Coverage : 0.940599 
Test set Size =         294;	Fault Coverage : 0.940599 
Test set Size =         295;	Fault Coverage : 0.942703 
Test set Size =         296;	Fault Coverage : 0.942703 
Test set Size =         297;	Fault Coverage : 0.942703 
Test set Size =         298;	Fault Coverage : 0.942703 
Test set Size =         299;	Fault Coverage : 0.942703 
Test set Size =         300;	Fault Coverage : 0.942703 
Test set Size =         301;	Fault Coverage : 0.942703 
Test set Size =         302;	Fault Coverage : 0.942703 
Test set Size =         303;	Fault Coverage : 0.942703 
Test set Size =         304;	Fault Coverage : 0.942703 
Test set Size =         305;	Fault Coverage : 0.942703 
Test set Size =         306;	Fault Coverage : 0.942703 
Test set Size =         307;	Fault Coverage : 0.942703 
Test set Size =         308;	Fault Coverage : 0.942703 
Test set Size =         309;	Fault Coverage : 0.942703 
Test set Size =         310;	Fault Coverage : 0.942703 
Test set Size =         311;	Fault Coverage : 0.942703 
Test set Size =         312;	Fault Coverage : 0.942703 
Test set Size =         313;	Fault Coverage : 0.942703 
Test set Size =         314;	Fault Coverage : 0.942703 
Test set Size =         315;	Fault Coverage : 0.942703 
Test set Size =         316;	Fault Coverage : 0.942703 
Test set Size =         317;	Fault Coverage : 0.942703 
Test set Size =         318;	Fault Coverage : 0.942703 
Test set Size =         319;	Fault Coverage : 0.943639 
Test set Size =         320;	Fault Coverage : 0.943639 
Test set Size =         321;	Fault Coverage : 0.943639 
Test set Size =         322;	Fault Coverage : 0.943639 
Test set Size =         323;	Fault Coverage : 0.943639 
Test set Size =         324;	Fault Coverage : 0.943639 
Test set Size =         325;	Fault Coverage : 0.943639 
Test set Size =         326;	Fault Coverage : 0.943639 
Test set Size =         327;	Fault Coverage : 0.943639 
